medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Eleanor Harvey,bronze,Canada,1995-01-14,Hamilton,Ontario,fencing at the 2024 Summer Olympics – women's foil
Jacqueline Dubrovich,gold,United States of America,1994-07-18,Paterson,Passaic County,fencing at the 2024 Summer Olympics – women's team foil
Lee Kiefer,gold,United States of America,1994-06-15,Cleveland,Cuyahoga County,fencing at the 2024 Summer Olympics – women's team foil
Lauren Scruggs,gold,United States of America,2003-01-27,Queens,New York City,fencing at the 2024 Summer Olympics – women's team foil
Maia Weintraub,gold,United States of America,2002-10-24,Philadelphia,Philadelphia County,fencing at the 2024 Summer Olympics – women's team foil
Arianna Errigo,silver,Italy,1988-06-06,Monza,Province of Monza and Brianza,fencing at the 2024 Summer Olympics – women's team foil
Martina Favaretto,silver,Italy,2001-11-15,Camposampiero,Province of Padua,fencing at the 2024 Summer Olympics – women's team foil
Alice Volpi,silver,Italy,1992-04-15,Siena,Province of Siena,fencing at the 2024 Summer Olympics – women's team foil
Francesca Palumbo,silver,Italy,1992-02-10,Potenza,province of Potenza,fencing at the 2024 Summer Olympics – women's team foil
Sera Azuma,bronze,Japan,1999-08-20,Wakayama,Wakayama Prefecture,fencing at the 2024 Summer Olympics – women's team foil
Yūka Ueno,bronze,Japan,2001-11-28,Beppu,Oita Prefecture,fencing at the 2024 Summer Olympics – women's team foil
Karin Miyawaki,bronze,Japan,1997-02-04,Tokyo,Japan,fencing at the 2024 Summer Olympics – women's team foil
Komaki Kikuchi,bronze,Japan,1997-02-22,Kumamoto,Kumamoto Prefecture,fencing at the 2024 Summer Olympics – women's team foil
Manon Brunet,gold,France,1996-02-07,Lyon,Metropolis of Lyon,fencing at the 2024 Summer Olympics – women's sabre
Sara Balzer,silver,France,1995-04-03,Strasbourg,Bas-Rhin,fencing at the 2024 Summer Olympics – women's sabre
Olha Kharlan,bronze,Ukraine,1990-09-04,Mykolaiv,Mykolaiv urban hromada,fencing at the 2024 Summer Olympics – women's sabre
Yuliia Bakastova,gold,Ukraine,1996-06-26,Kyiv,Ukraine,fencing at the 2024 Summer Olympics – women's team sabre
Alina Komashchuk,gold,Ukraine,1993-04-24,Netishyn,Khmelnytskyi Oblast,fencing at the 2024 Summer Olympics – women's team sabre
Olha Kharlan,gold,Ukraine,1990-09-04,Mykolaiv,Mykolaiv urban hromada,fencing at the 2024 Summer Olympics – women's team sabre
Olena Kravatska,gold,Ukraine,1992-06-22,Chernivtsi,Chernivtsi Raion,fencing at the 2024 Summer Olympics – women's team sabre
Jeon Ha-young,silver,South Korea,2001-08-18,Daejeon,South Korea,fencing at the 2024 Summer Olympics – women's team sabre
Jeon Eun-hye,silver,South Korea,1997-08-01,Daejeon,South Korea,fencing at the 2024 Summer Olympics – women's team sabre
Yoon Ji-su,silver,South Korea,1993-01-24,Busan,South Korea,fencing at the 2024 Summer Olympics – women's team sabre
Seri Ozaki,bronze,Japan,2002-09-22,Sapporo,Ishikari Subprefecture,fencing at the 2024 Summer Olympics – women's team sabre
Misaki Emura,bronze,Japan,1998-11-20,Ōita,Oita Prefecture,fencing at the 2024 Summer Olympics – women's team sabre
Shihomi Fukushima,bronze,Japan,1995-06-19,Munakata,Fukuoka Prefecture,fencing at the 2024 Summer Olympics – women's team sabre
Thierry Brinkman,gold,Netherlands,1995-03-19,Netherlands,Kingdom of the Netherlands,field hockey at the 2024 Summer Olympics – men's tournament
Jip Janssen,gold,Netherlands,1997-10-14,Naarden,Gooise Meren,field hockey at the 2024 Summer Olympics – men's tournament
Lars Balk,gold,Netherlands,1996-02-26,Vianen,Vijfheerenlanden,field hockey at the 2024 Summer Olympics – men's tournament
Jonas de Geus,gold,Netherlands,1998-04-29,Amsterdam,Amsterdam,field hockey at the 2024 Summer Olympics – men's tournament
Thijs van Dam,gold,Netherlands,1997-01-05,Delft,South Holland,field hockey at the 2024 Summer Olympics – men's tournament
Seve van Ass,gold,Netherlands,1992-04-10,Rotterdam,Rotterdam,field hockey at the 2024 Summer Olympics – men's tournament
Jorrit Croon,gold,Netherlands,1998-08-09,Leiderdorp,South Holland,field hockey at the 2024 Summer Olympics – men's tournament
Justen Blok,gold,Netherlands,2000-09-27,Rotterdam,Rotterdam,field hockey at the 2024 Summer Olympics – men's tournament
Derck de Vilder,gold,Netherlands,1998-11-23,Amsterdam,Amsterdam,field hockey at the 2024 Summer Olympics – men's tournament
Floris Wortelboer,gold,Netherlands,1996-08-04,Teteringen,Breda,field hockey at the 2024 Summer Olympics – men's tournament
Tjep Hoedemakers,gold,Netherlands,1999-10-14,Geldrop,Geldrop-Mierlo,field hockey at the 2024 Summer Olympics – men's tournament
Koen Bijen,gold,Netherlands,1998-07-27,Leiden,South Holland,field hockey at the 2024 Summer Olympics – men's tournament
Joep de Mol,gold,Netherlands,1995-12-10,Berkel-Enschot,Tilburg,field hockey at the 2024 Summer Olympics – men's tournament
Pirmin Blaak,gold,Netherlands,1988-03-08,Rotterdam,Rotterdam,field hockey at the 2024 Summer Olympics – men's tournament
Tijmen Reyenga,gold,Netherlands,1999-10-10,'s-Hertogenbosch,'s-Hertogenbosch,field hockey at the 2024 Summer Olympics – men's tournament
Duco Telgenkamp,gold,Netherlands,2002-07-17,The Hague,South Holland,field hockey at the 2024 Summer Olympics – men's tournament
Floris Middendorp,gold,Netherlands,2001-06-04,Hattem,Gelderland,field hockey at the 2024 Summer Olympics – men's tournament
Steijn van Heijningen,gold,Netherlands,1997-01-28,Leiderdorp,South Holland,field hockey at the 2024 Summer Olympics – men's tournament
Mats Grambusch,silver,Germany,1992-11-04,Mönchengladbach,Düsseldorf Government Region,field hockey at the 2024 Summer Olympics – men's tournament
Mathias Müller,silver,Germany,1992-04-03,Hamburg,Germany,field hockey at the 2024 Summer Olympics – men's tournament
Lukas Windfeder,silver,Germany,1995-05-11,Mülheim an der Ruhr,Düsseldorf Government Region,field hockey at the 2024 Summer Olympics – men's tournament
Niklas Wellen,silver,Germany,1994-12-14,Krefeld,Düsseldorf Government Region,field hockey at the 2024 Summer Olympics – men's tournament
Johannes Große,silver,Germany,1997-01-07,Berlin,Germany,field hockey at the 2024 Summer Olympics – men's tournament
Thies Prinz,silver,Germany,1998-07-07,Berlin,Germany,field hockey at the 2024 Summer Olympics – men's tournament
Paul-Philipp Kaufmann,silver,Germany,1996-06-21,Mannheim,Karlsruhe Government Region,field hockey at the 2024 Summer Olympics – men's tournament
Teo Hinrichs,silver,Germany,NA,Mannheim,Karlsruhe Government Region,field hockey at the 2024 Summer Olympics – men's tournament
Tom Grambusch,silver,Germany,1995-08-04,Mönchengladbach,Düsseldorf Government Region,field hockey at the 2024 Summer Olympics – men's tournament
Gonzalo Peillat,silver,Germany,1992-08-12,Buenos Aires,Argentina,field hockey at the 2024 Summer Olympics – men's tournament
Christopher Rühr,silver,Germany,1993-12-19,Düsseldorf,Düsseldorf Government Region,field hockey at the 2024 Summer Olympics – men's tournament
Justus Weigand,silver,Germany,2000-04-20,Nuremberg,Middle Franconia,field hockey at the 2024 Summer Olympics – men's tournament
Marco Miltkau,silver,Germany,1990-08-18,Hamburg,Germany,field hockey at the 2024 Summer Olympics – men's tournament
Martin Zwicker,silver,Germany,1987-02-27,Köthen,Anhalt-Bitterfeld,field hockey at the 2024 Summer Olympics – men's tournament
Hannes Müller,silver,Germany,2000-05-18,Köthen,Anhalt-Bitterfeld,field hockey at the 2024 Summer Olympics – men's tournament
Malte Hellwig,silver,Germany,1997-10-23,NA,NA,field hockey at the 2024 Summer Olympics – men's tournament
Moritz Ludwig,silver,Germany,2001-09-14,NA,NA,field hockey at the 2024 Summer Olympics – men's tournament
Jean-Paul Danneberg,silver,Germany,2002-01-01,Darmstadt,Darmstadt Government Region,field hockey at the 2024 Summer Olympics – men's tournament
Harmanpreet Singh,bronze,India,1996-01-06,Amritsar,Amritsar district,field hockey at the 2024 Summer Olympics – men's tournament
Jarmanpreet Singh,bronze,India,1996-07-18,Amritsar,Amritsar district,field hockey at the 2024 Summer Olympics – men's tournament
Mahesh madavi,bronze,India,1999-01-01,Sonipat,Sonipat district,field hockey at the 2024 Summer Olympics – men's tournament
Manpreet Singh,bronze,India,1992-06-26,Jalandhar,Jalandhar District,field hockey at the 2024 Summer Olympics – men's tournament
Hardik Singh,bronze,India,1998-09-23,Khusropur,Kapurthala district,field hockey at the 2024 Summer Olympics – men's tournament
Gurjant Singh,bronze,India,1995-01-26,Amritsar,Amritsar district,field hockey at the 2024 Summer Olympics – men's tournament
Sanjay Rana,bronze,India,2001-05-05,Dabra,Gwalior district,field hockey at the 2024 Summer Olympics – men's tournament
Mandeep Singh,bronze,India,1995-01-25,Jalandhar,Jalandhar District,field hockey at the 2024 Summer Olympics – men's tournament
Lalit Upadhyay,bronze,India,1993-12-01,Varanasi,Varanasi district,field hockey at the 2024 Summer Olympics – men's tournament
Sreejesh Ravindran,bronze,India,1988-05-08,Ernakulam district,Kerala,field hockey at the 2024 Summer Olympics – men's tournament
Sumit Walmiki,bronze,India,1996-12-20,Sonipat,Sonipat district,field hockey at the 2024 Summer Olympics – men's tournament
Shamsher Singh,bronze,India,1997-07-29,Attari,Amritsar district,field hockey at the 2024 Summer Olympics – men's tournament
Raj Kumar Pal,bronze,India,1998-05-01,Ghazipur district,Varanasi division,field hockey at the 2024 Summer Olympics – men's tournament
Amit Rohidas,bronze,India,1993-05-10,Sundargarh district,Northern division,field hockey at the 2024 Summer Olympics – men's tournament
Vivek Prasad,bronze,India,2000-02-25,Itarsi,Narmadapuram district,field hockey at the 2024 Summer Olympics – men's tournament
Sukhjeet Singh,bronze,India,1996-12-05,Jalandhar,Jalandhar District,field hockey at the 2024 Summer Olympics – men's tournament
Xan de Waard,gold,Netherlands,1995-11-08,Renkum,Renkum,field hockey at the 2024 Summer Olympics – women's tournament
Anne Veenendaal,gold,Netherlands,1995-09-07,Haarlem,North Holland,field hockey at the 2024 Summer Olympics – women's tournament
Luna Fokke,gold,Netherlands,2001-03-09,Leidschendam,Leidschendam-Voorburg,field hockey at the 2024 Summer Olympics – women's tournament
Freeke Moes,gold,Netherlands,1998-11-29,Netherlands,Kingdom of the Netherlands,field hockey at the 2024 Summer Olympics – women's tournament
Lisa Post,gold,Netherlands,1999-01-27,Veldhoven,North Brabant,field hockey at the 2024 Summer Olympics – women's tournament
Yibbi Jansen,gold,Netherlands,1999-11-18,'s-Hertogenbosch,'s-Hertogenbosch,field hockey at the 2024 Summer Olympics – women's tournament
Renée van Laarhoven,gold,Netherlands,1997-10-15,Nijmegen,Gelderland,field hockey at the 2024 Summer Olympics – women's tournament
Felice Albers,gold,Netherlands,1999-12-27,Amstelveen,North Holland,field hockey at the 2024 Summer Olympics – women's tournament
Maria Verschoor,gold,Netherlands,1994-04-22,Dordrecht,South Holland,field hockey at the 2024 Summer Olympics – women's tournament
Sanne Koolen,gold,Netherlands,1996-03-23,Nijmegen,Gelderland,field hockey at the 2024 Summer Olympics – women's tournament
Frédérique Matla,gold,Netherlands,1996-12-28,Huizen,North Holland,field hockey at the 2024 Summer Olympics – women's tournament
Joosje Burg,gold,Netherlands,1997-07-29,Veghel,Meierijstad,field hockey at the 2024 Summer Olympics – women's tournament
Marleen Jochems,gold,Netherlands,2000-01-24,Baarn,Utrecht,field hockey at the 2024 Summer Olympics – women's tournament
Pien Sanders,gold,Netherlands,1998-06-11,Udenhout,Tilburg,field hockey at the 2024 Summer Olympics – women's tournament
Marijn Veen,gold,Netherlands,1996-11-18,Utrecht,Utrecht,field hockey at the 2024 Summer Olympics – women's tournament
Laura Nunnink,gold,Netherlands,1995-01-26,Eindhoven,North Brabant,field hockey at the 2024 Summer Olympics – women's tournament
Pien Dicke,gold,Netherlands,1999-08-28,The Hague,South Holland,field hockey at the 2024 Summer Olympics – women's tournament
Ou Zixia,silver,People's Republic of China,1995-09-24,Qianwei County,Leshan,field hockey at the 2024 Summer Olympics – women's tournament
Ye Jiao,silver,People's Republic of China,1994-10-21,Tianfu New Area,Sichuan,field hockey at the 2024 Summer Olympics – women's tournament
Gu Bingfeng,silver,People's Republic of China,1994-01-25,NA,NA,field hockey at the 2024 Summer Olympics – women's tournament
Yang Liu,silver,People's Republic of China,1998-09-01,Dazhou,Sichuan,field hockey at the 2024 Summer Olympics – women's tournament
Zhang Ying,silver,People's Republic of China,1998-08-29,NA,NA,field hockey at the 2024 Summer Olympics – women's tournament
Chen Yi,silver,People's Republic of China,1997-01-28,NA,NA,field hockey at the 2024 Summer Olympics – women's tournament
Ma Ning,silver,People's Republic of China,2000-09-29,NA,NA,field hockey at the 2024 Summer Olympics – women's tournament
Li Hong,silver,People's Republic of China,1999-05-31,Dongli District,Tianjin,field hockey at the 2024 Summer Olympics – women's tournament
Dan Wen,silver,People's Republic of China,1999-06-14,Leshan,Sichuan,field hockey at the 2024 Summer Olympics – women's tournament
Zou Meirong,silver,People's Republic of China,2000-09-01,Qianwei County,Leshan,field hockey at the 2024 Summer Olympics – women's tournament
He Jiangxin,silver,People's Republic of China,1997-08-19,Mianzhu,Deyang,field hockey at the 2024 Summer Olympics – women's tournament
Fan Yunxia,silver,People's Republic of China,2002-01-01,Huai'an,Jiangsu,field hockey at the 2024 Summer Olympics – women's tournament
Chen Yang,silver,People's Republic of China,1997-02-15,NA,NA,field hockey at the 2024 Summer Olympics – women's tournament
Xu Wenyu,silver,People's Republic of China,1995-12-06,NA,NA,field hockey at the 2024 Summer Olympics – women's tournament
Zhong Jiaqi,silver,People's Republic of China,1999-09-23,Guangzhou,Guangdong,field hockey at the 2024 Summer Olympics – women's tournament
Tan Jinzhuang,silver,People's Republic of China,2003-01-27,NA,NA,field hockey at the 2024 Summer Olympics – women's tournament
Yu Anhui,silver,People's Republic of China,2001-04-30,Kaijiang County,Dazhou,field hockey at the 2024 Summer Olympics – women's tournament
Rocío Sánchez Moccia,bronze,Argentina,1988-08-02,Buenos Aires,Argentina,field hockey at the 2024 Summer Olympics – women's tournament
Sofía Toccalino,bronze,Argentina,1997-03-20,Luján,Luján Partido,field hockey at the 2024 Summer Olympics – women's tournament
Agustina Gorzelany,bronze,Argentina,1996-03-11,Villa Raffo,Tres de Febrero Partido,field hockey at the 2024 Summer Olympics – women's tournament
Valentina Raposo,bronze,Argentina,2003-01-28,Salta,Capital Department,field hockey at the 2024 Summer Olympics – women's tournament
Agostina Alonso,bronze,Argentina,1995-10-01,Buenos Aires,Argentina,field hockey at the 2024 Summer Olympics – women's tournament
Agustina Albertario,bronze,Argentina,1993-01-01,Adrogué,Almirante Brown Partido,field hockey at the 2024 Summer Olympics – women's tournament
María José Granatto,bronze,Argentina,1995-04-21,La Plata,La Plata Partido,field hockey at the 2024 Summer Olympics – women's tournament
Cristina Cosentino,bronze,Argentina,1997-12-22,Argentina,NA,field hockey at the 2024 Summer Olympics – women's tournament
Victoria Sauze,bronze,Argentina,1991-07-21,San Miguel de Tucumán,Capital Department,field hockey at the 2024 Summer Olympics – women's tournament
Sofía Cairó,bronze,Argentina,2002-10-08,Buenos Aires,Argentina,field hockey at the 2024 Summer Olympics – women's tournament
Eugenia Trinchinetti,bronze,Argentina,1997-07-17,Victoria,Victoria Department,field hockey at the 2024 Summer Olympics – women's tournament
Lara Casas,bronze,Argentina,2004-06-22,Buenos Aires,Argentina,field hockey at the 2024 Summer Olympics – women's tournament
Juana Castellaro,bronze,Argentina,2005-03-29,Lomas de Zamora,Lomas de Zamora Partido,field hockey at the 2024 Summer Olympics – women's tournament
